Author,Year,Title,Journal Name,Volume,Issue,Pages,Abstract,categories
"Tarkan, A. S., E. Tricarico, L. Vilizzi, G. Bilge, F. G. Ekmekci, H. Filiz, D. Giannetto, A. Ilhan, N. Killi, S. G. Kirankaya, N. Koutsikos, S. Kozic, I. Kurtul, L. Lazzaro, A. Marchini, A. Occhipinti-Ambrogi, C. Perdikaris, M. Piria, L. Pompei, H. Sari, E. Smeti, G. Stasolla, N. Top, K. Tsiamis, L. Vardakas, S. Yapici, B. Yogurtcuoglu, and G. H. Copp",2021,Risk of invasiveness of non-native aquatic species in the eastern mediterranean region under current and projected climate conditions,European Zoological Journal,88,1,1130-1143,"Human-induced biological introductions pose a major threat to global biodiversity, and this is especially frequent in the eastern Mediterranean region, which is a globally important biodiversity hotspot area of high conservation value. To predict at which level introduced species in this region might become invasive under current and projected climate conditions, 232 non-native aquatic organisms were screened using the Aquatic Species Invasiveness Screening Kit. Based on receiver operative characteristic curve analysis, thresholds were identified to distinguish between low, medium and high risk species. The top invasive"" (very high risk) species identified were: brown bullhead Ameiurus nebulosus, blue crab Callinectes sapidus, gibel carp Carassius gibelio, Philippine catfish Clarias batrachus, Chinese mitten crab Eriocheir sinensis, bluespotted cornetfish Fistularia commersonii, silver carp Hypophthalmichthys molitrix, silver-cheeked toadfish Lagocephalus sceleratus, half-smooth golden pufferfish Lagocephalus spadiceus, Suez pufferfish Lagocephalus suezensis, signal crayfish Pacifastacus leniusculus, fathead minnow Pimephales promelas, channeled applesnail Pomacea canaliculata, red swamp crayfish Procambarus clarkii, devil firefish Pterois miles and European catfish Silurus glanis. The risk of being invasive of more than half of the screened species increased after taking global warming predictions into account, and several species considered to be globally invasive (cf. high risk) were classified as posing only a medium risk for the eastern Mediterranean region. Region-specific risk screenings, as implemented in this study, are therefore essential for setting priorities in preventative management for the conservation of key biodiversity hotspots and the optimal allocation of resources in view of full risk assessment for the species identified as (very) high risk.""",yes
"Tarkan, A. S., L. Vilizzi, N. Top, F. G. Ekmekci, P. D. Stebbing, and G. H. Copp",2017,"Identification of potentially invasive freshwater fishes, including translocated species, in turkey using the aquatic species invasiveness screening kit (as-isk)",International Review of Hydrobiology,102,1-2,47-56,"Screening tools are being increasingly used to identify more effectively non-native species that pose an elevated risk of being invasive. Of the available decision-support tools, the Fish Invasiveness Screening Kit (FISK) has been widely used, but has recently been replaced by a generic screening tool, the Aquatic Species Invasiveness Screening Kit (AS-ISK), which is applicable to any aquatic species and complies with the minimum requirements for risk tools under the new EC alien invasive species Regulation. With its unique zoogeography and rich native fauna, Turkey is highly susceptible to non-native species' introductions and translocations. In order to inform non-native species policy and management regarding fishes in Turkey, AS-ISK was used to re-assess species previously screened using FISK and to assess additional non-native and translocated fish species. In this first calibration study of AS-ISK for Turkey, a basic score threshold of 28 was achieved, which reliably distinguished between potentially invasive (high risk) and potentially non-invasive (medium to low risk) fishes. Of the 64 species assessed, only one was ranked as 'low risk', 40 were categorised as 'medium risk', and the remaining 23 as 'high risk' of which five were translocated. Non-native species currently not present in Turkey, but that pose a high risk of being invasive, were Ameiurus melas, Ameiurus nebulosus, Hemiculter leucisculus, Hypophthalmichthys molitrix, Micropterus salmoides, Perccottus glenii, Pimephales promelas; whereas, the highest scoring translocated species were Cyprinus carpio, Esox lucius and Silurus glanis. When the potential effects of climate change on the assessments were considered, risk scores increased for some (sub) tropical fishes of which two are translocated species.",yes
"Tix, J. A., C. T. Hasler, C. Sullivan, J. D. Jeffrey, and C. D. Suski",2017,Elevated carbon dioxide has the potential to impact alarm cue responses in some freshwater fishes,Aquatic Ecology,51,1,59-72,"Freshwater fish behaviors have the potential to be impacted by acidification due to increases in dissolved carbon dioxide (CO2). Recent work in the marine environment suggests that increased CO2 levels due to climate change can negatively affect fishes homing to natal environments, while also hindering their ability to detect predators and perform aerobically. The potential for elevated CO2 to have similar negative impacts on freshwater communities remains understudied. The objective of our study was to quantify the effects of elevated CO2 on the behaviors of fathead minnows (Pimephales promelas) and silver carp (Hypophthalmichthys molitrix) following exposure to conspecific skin extracts (alarm cues). In fathead minnows, their response to conspecific skin extracts was significantly impaired following exposure to elevated CO2 levels for at least 96 h, while silver carp behaviors were unaltered. However, fathead minnow behaviors did return to pre-CO2 exposure in high-CO2-exposed fish following 14 days of holding at ambient CO2 levels. Overall, this study suggests there may be potential impacts to freshwater fishes alarm cue behaviors following CO2 exposure, but these responses may be species-specific and will likely be abated should the CO2 stressor be removed.",yes
"Tristano, E. P., A. A. Coulter, T. J. Newton, and J. E. Garvey",2019,Invasive silver carp may compete with unionid mussels for algae: First experimental evidence,Aquatic Conservation,29,10,1749-1757,"Unionid mussels are imperilled throughout the US, where their global diversity is highest. Silver carp (Hypophthalmichthys molitrix Valenciennes in Cuvier & Valenciennes, 1844), an invasive planktivorous fish, has spread throughout Midwestern rivers and currently threatens the Great Lakes. Because silver carp remove plankton and other particles from the water column, they may compete with mussels for food resources. This would be among the first examples of a direct competitive interaction between fish and mussels. To examine the potential for competition, a 30 day tank experiment was performed with 2 year old fatmucket mussels (Lampsilis siliquoidea Barnes, 1823) and age-1 silver carp in three treatments: fatmucket only, silver carp only and fatmucket + silver carp. All tanks were given a commercial algal-based diet daily and dry mass of suspended particles (an estimate of available food) and NH4, NO3 and NO2 concentrations were quantified every 5 days to track food availability and changes in nutrients. Initial and final silver carp total length (mm) and mass (g), and fatmucket length (mm), height (mm) and surface area (cm(2)) were measured. Survival was 100% over the test duration for both species. Fatmucket grew less in the fatmucket + silver carp treatment, whereas silver carp growth was undetectable regardless of treatment. Fatmucket also exhibited increased movement in the presence of silver carp. Suspended particles did not differ among treatments. Dissolved nitrogen concentrations were higher in the silver carp treatments, suggesting that silver carp increase nutrient availability in aquatic systems. Overall, the slower growth rates observed in the fatmucket + silver carp treatment compared with the mussel-only treatment suggest exploitative competition between invasive planktivorous silver carp and fatmucket, and this competition may contribute to additional stress on already imperilled mussels.",yes
"Tucker, E. K., M. E. Zurliene, C. D. Suski, and R. A. Nowak",2020,Gonad development and reproductive hormones of invasive silver carp (Hypophthalmichthys molitrix) in the Illinois river,Biology of Reproduction,102,3,647-659,"Reproduction is a major component of an animal's life history strategy. Species with plasticity in their reproductive biology are likely to be successful as an invasive species, as they can adapt their reproductive effort during various phases of a biological invasion. Silver carp (Hypophthalmicthys molitrix), an invasive cyprinid in North America, display wide variation in reproductive strategies across both their native and introduced ranges, though the specifics of silver carp reproduction in the Illinois River have not been established. We assessed reproductive status using histological and endocrinological methods in silver carp between April and October 2018, with additional histological data from August to October 2017. Here, we show that female silver carp are batch spawners with asynchronous, indeterminate oocyte recruitment, while male silver carp utilize a determinate pattern of spermatogenesis which ceases in the early summer. High plasma testosterone levels in females could be responsible for regulating oocyte development. Our results suggest that silver carp have high spawning activity in the early summer (May-June), but outside of the peak spawning period, female silver carp can maintain spawning-capable status by adjusting rates of gametogenesis and atresia in response to environmental conditions, while males regress their gonads as early as July. The results of this study are compared to reports of silver carp reproduction in other North American rivers as well as in Asia.",yes
"Tumolo, B. B., and M. B. Flinn",2017,Top-down effects of an invasive omnivore: Detection in long-term monitoring of large-river reservoir chlorophyll-a,Oecologia,185,2,293-303,"Invasive species are capable of altering ecosystems through the consumption of basal resources. However, quantifying the effects of invasive species in large ecosystems is challenging. Measuring changes in basal resources (i.e., phytoplankton) at an ecosystem scale is an important and potentially translatable response vital to the understanding of how introduced species influence ecosystems. In this study, we analyzed patterns of early summer chlorophyll-a in a large-river reservoir in response to invasion of silver carp (Hypophthalmichthys molitrix). We used 25 years of ecological data from a 30-km reach of Kentucky Lake collected before and after silver carp establishment. We found significant decreases in chlorophyll-a within certain reservoir habitats since establishment of silver carp. Additionally, environmental and biological drivers of phytoplankton production showed no significant differences before and after invasion. These results suggest seasonal, and habitat-specific consumptive effects of invasive silver carp on an important basal food web resource. Further, our results convey the utility of long-term quantitative biological and physiochemical data in understanding ecosystem responses to elements of global change (i.e., species invasions). Importantly, the observed changes in the basal food web resource of Kentucky Lake may apply to other ecosystems facing invasion by silver carp (e.g., Laurentian Great Lakes). Our study offers insight into the mechanisms by which silver carp may influence ecosystems and furthers our understanding of invasive omnivores.",yes
"Tumolo, B. B., and M. B. Flinn",2019,Diet of invasive silver carp (Hypophthalmichthys molitrix) in a mainstem reservoir ecosystem,Kentucky Academy of Science,79,1,3-11,"Hypophthalmichthys molitrix (Silver Carp) is an invasive fish that threatens ecosystem function by consuming basal food web resources. In this study we quantify gut contents of 83 Silver Carp in the mainstem reservoir ecosystem of Kentucky Lake, Kentucky, Tennessee River Valley, United States. Silver Carp guts contained phytoplankton (63.5%), zooplankton (33.8%) and heterotrophic flagellates (2.7%) based on volume. Additionally, we compare existing literature on Silver Carp diet and trophic position (i.e., stable isotope information). Our study indicates that Silver Carp are planktivorous and consume organisms within multiple lower trophic levels across a range of habitats. However, we show that Silver Carp diets differ at finer taxonomic scales and suggest these differences may be driven by forage availability. To our knowledge, this is the first study to quantify diets of Silver Carp within a mainstem reservoir ecosystem designed for flood storage with a comparison to existing Silver Carp diet literature. The results of this study may be useful in predicting ecological implications of Silver Carp invasion across a diversity of habitats.",yes
"Tumolo, B. B., B. M. Richardson, D. D. Lebeda, and M. B. Flinn",2022,Phytoplankton survival in hindgut of invasive silver carp (Hypophthalmichthys molitrix),American Midland Naturalist,187,1,29-38,"The ability of organisms to survive ingestion and digestion by their predators, or endozoochory, is a fascinating ecological phenomenon that can facilitate predator-mediated dispersal of prey and alter interaction strengths within ecological networks. However, the role of endozoochory in the context of invasive species is considered less often. Throughout the United States, Silver Carp (Hypophthalmichthys molitrix) are prolific invaders that often alter food web structure of recipient ecosystems through the consumption of basal resources. Despite the biogeochemical and food web effects of Silver Carp, there is limited understanding of plankton prey survival after Silver Carp consumption and digestion, and even less known about the ecological effects of selective diets and potential survival. In this study, we quantify hindgut contents of Silver Carp collected from Kentucky Lake, Kentucky, Tennessee River Valley, United States. We found the majority (83%) of phytoplankters within hindguts of Silver Carp showed little digestion prior to egestion. Our study suggests digestion limitations of Silver Carp may have important ecological implications for invaded environments. These results may be applicable in understanding how this rapidly spreading invasive fish can influence food web dynamics and biogeochemical cycles pertinent to toxic algal blooms within recently invaded ecosystems, and forecasting invasion in the near future.",yes
"Ullah, A. K. M. A., M. A. Maksud, S. R. Khan, L. N. Lutfa, and S. B. Quraishi",2017,Dietary intake of heavy metals from eight highly consumed species of cultured fish and possible human health risk implications in Bangladesh,Toxicology Reports,4,,574-579,"Concentrations of five heavy metals (Pb, Cd, Cr, As and Hg) in eight highly consumed cultured fish species (Labeo rohita, Clarias gariepinus, Hypophthalmichthys molitrix, Cyprinus capio, Puntius sarana, Oreochromis mossambicus, Pangasius pangasius and Anabas testudineus) collected from four wholesale markets of Dhaka city, Bangladesh (Karwan Bazar, Mohammadpur Town Hall, Newmarket and Mirpur-1) were measured using atomic absorption spectrometry (AAS) in order to evaluate the potential human health risks from the consumption of fish. The estimated daily intake (EDI) of all the studied heavy metals calculated on the basis of mean fish consumption of 49.5g person−1 d−1 by Bangladeshi households indicated that no risk to people’s health with respect to the EDI of investigated heavy metals through the consumption of the fish samples. From the human health point of view, the estimation of non-carcinogenic risk indicated that intake of individual heavy metal through the consumption of fish was safe for human health, whereas, consumption of combined heavy metals suggested potential health risk to highly exposed consumers. However, the estimation of carcinogenic risk of arsenic due to the consumption of fish indicated that consumers remain at risk of cancer.",yes
"Vetter, B. J., R. D. Calfee, and A. F. Mensinger",2017,Management implications of broadband sound in modulating wild silver carp (Hypophthalmichthys molitrix) behavior,Management of Biological Invasions,8,3,371-376,"Invasive silver carp (Hypophthalmichthys molitrix) dominate large regions of the Mississippi River drainage, outcompete native species, and are notorious for their prolific and unusual jumping behavior. High densities of juvenile and adult (similar to 25 kg) carp are known to jump up to 3 m above the water surface in response to moving watercraft. Broadband sound recorded from an outboard motor (100 hp at 32 km/hr) can modulate their behavior in captivity; however, the response of wild silver carp to broadband sound has yet to be determined. In this experiment, broadband sound (0.06-10 kHz) elicited jumping behavior from silver carp in the Spoon River near Havana, IL independent of boat movement, indicating acoustic stimulus alone is sufficient to induce jumping. Furthermore, the number of jumping fish decreased with subsequent sound exposures. Understanding silver carp jumping is not only important from a behavioral standpoint, it is also critical to determine effective techniques for controlling this harmful species, such as herding fish into a net for removal.",yes
"Vetter, B. J., A. F. Casper, and A. F. Mensinger",2017,Characterization and management implications of silver carp (<i>Hypophthalmichthys molitrix</i>) jumping behavior in response to motorized watercraft,Management of Biological Invasions,8,1,113-124,"Silver carp (Hypophthalmichthys molitrix), an invasive planktivorous fish species in North America, pose a threat to aquatic ecosystems throughout the Mississippi River Drainage. These fish are well known for their airborne leaps in response to passing watercraft, but the trigger for, and functional significance of jumping remains unknown. The behavior of wild silver carp responding to moving (16, 24, 32, and 40 km/hr) 6 m aluminum boats equipped with 4-stroke outboard motors (100 or 150 hp) was quantified. Experiments were conducted at three sites on the Illinois River near Havana, IL and most boat transits (57.9%) stimulated five or more fish to jump. The frequency of jumping (fish/min) w as independent of speed and motor type and the vast majority of fish (> 90.0%) jumped after the boat had passed their position but avoided the area directly astern (< 4.0 m). Furthermore, 79.8% of fish vectored away from the moving watercraft. The results suggest that jumping direction is not random and fish can localize the stimulus source. The “delayed” jumping until after the boat had transited the area indicates that the trigger may be turbulence and/or higher sound pressure levels. This is the first study to model silver carp jumping in response to motorized watercraft and can aid fisheries managers in predicting the direction and location of airborne fish to develop effective herding and capture methods.",yes
"Vilizzi, L., G. H. Copp, B. Adamovich, D. Almeida, J. Chan, P. I. Davison, S. Dembski, F. G. Ekmekçi, Á. Ferincz, S. C. Forneck, J. E. Hill, K. Jeong-Eun, N. Koutsikos, S. E. W. L. Rob, S. A. Luna, F. Magalhães, S. M. Marr, R. Mendoza, C. F. Mourão, J. W. Neal, N. Onikura, C. Perdikaris, M. Piria, N. Poulet, R. Puntila, I. L. Range, P. Simonović, F. Ribeiro, T. Ali Serhan, D. F. A. Troca, L. Vardakas, H. Verreycken, L. Vintsek, O. L. F. Weyl, D. C. J. Yeo, and Y. Zeng",2019,A global review and meta-analysis of applications of the freshwater fish invasiveness screening kit,Reviews in Fish Biology and Fisheries,29,3,529-568,"The freshwater Fish Invasiveness Screening Kit (FISK) has been applied in 35 risk assessment areas in 45 countries across the six inhabited continents (11 applications using FISK v1; 25 using FISK v2). The present study aimed: to assess the breadth of FISK applications and the confidence (certainty) levels associated with the decision-support tool’s 49 questions and its ability to distinguish between taxa of low-to-medium and high risk of becoming invasive, and thus provide climate-specific, generalised, calibrated thresholds for risk level categorisation; and to identify the most potentially invasive freshwater fish species on a global level. The 1973 risk assessments were carried out by 70 + experts on 372 taxa (47 of the 51 species listed as invasive in the Global Invasive Species Database www.iucngisd.org/gisd/), which in decreasing order of importance belonged to the taxonomic Orders Cypriniformes, Perciformes, Siluriformes, Characiformes, Salmoniformes, Cyprinodontiformes, with the remaining ≈ 8% of taxa distributed across an additional 13 orders. The most widely-screened species (in decreasing importance) were: grass carp Ctenopharyngodon idella, common carp Cyprinus carpio, rainbow trout Oncorhynchus mykiss, silver carp Hypophthalmichthys molitrix and topmouth gudgeon Pseudorasbora parva. Nine ‘globally’ high risk species were identified: common carp, black bullhead Ameiurus melas, round goby Neogobius melanostomus, Chinese (Amur) sleeper Perccottus glenii, brown bullhead Ameiurus nebulosus, eastern mosquitofish Gambusia holbrooki, largemouth (black) bass Micropterus salmoides, pumpkinseed Lepomis gibbosus and pikeperch Sander lucioperca. The relevance of this global review to policy, legislation, and risk assessment and management procedures is discussed.",yes
"Wang, J. Z., D. Chapman, J. Xu, Y. Wang, and B. H. Gu",2018,"Isotope niche dimension and trophic overlap between bigheaded carps and native filter feeding fish in the lower missouri river, USA",Plos One,13,5,,"Stable carbon and nitrogen isotope values (delta C-13 and delta N-15) were used to evaluate trophic niche overlap between two filter-feeding fishes (known together as bigheaded carp) native to China, silver carp (Hypophthalmichthys molitrix) and bighead carp (Hypophthalmichthys nobilis), and three native filter-feeding fish including bigmouth buffalo (Ictiobus cyprinellus), gizzard shad (Dorosoma cepedianum) and paddlefish (Polyodon spathula) in the lower Missouri River, USA, using the Bayesian Stable Isotope in R statistics. Results indicate that except for bigmouth buffalo, all species displayed similar trophic niche size and trophic diversity. Bigmouth buffalo occupied a small trophic niche and had the greatest trophic overlap with silver carp (93.6%) and bighead carp (94.1%) followed by gizzard shad (91.0%). Paddlefish had a trophic niche which relied on some resources different from those used by other species, and therefore had the lowest trophic overlap with bigheaded carp and other two native fish. The trophic overlap by bigheaded carp onto native fish was typically stronger than the reverse effects from native fish. Average niche overlap between silver carp and native species was as high as 71%, greater than niche overlap between bighead carp and native fish (64%). Our findings indicate that bigheaded carps are a potential threat to a diverse and stable native fish community.",yes
"Wang, Q. X., X. H. Li, H. Sha, X. Z. Luo, G. W. Zou, and H. W. Liang",2021,Identification of micrornas in silver carp (Hypophthalmichthys molitrix) response to hypoxia stress,Animals,11,10,,"Simple Summary Hypoxia stress is one of the main problems in silver carp (Hypophthalmichthys molitrix) culture. Severe hypoxia stress can lead to damage and even death of silver carp. Therefore, it is very important to explore how silver carp adapt to and respond to hypoxia stress. MicroRNAs play an important role in a series of important life activities in organisms. In this study, the differentiallyexpressed miRNAs were screened from a mixed pool of liver, brain, heart and gill of silver carp under different levels of hypoxia stress by high-throughput sequencing. Our findings provided new insights to further study the miRNA regulatory mechanism and molecular characteristics of anoxic response in silver carp. Hypoxia is one of the serious stresses in fish culture, which can lead to physical and morphological changes, and cause injury and even death to fish. Silver carp (Hypophthalmichthys molitrix) is an important economic fish and widely distributed in China. MicroRNA is a kind of endogenous non-coding single-stranded small RNA, which is involved in cell development, and immune response and gene expression regulation. In this study, silver carp were kept in the closed containers for hypoxia treatment by spontaneous oxygen consumption. The samples of heart, brain, liver and gill were collected, and the total RNAs extracted separately from the four tissues were mixed in equal amounts according to the concentration. Afterwards, the RNA pool was constructed for high-throughput sequencing, and based on the small RNA sequencing, the differentially expressed microRNAs were identified. Furthermore, their target gene prediction and enrichment analyses were carried out. The results showed that a total of 229 known miRNAs and 391 putative novel miRNAs were identified, which provided valuable resources for further study on the regulatory mechanism of miRNAs in silver carp under hypoxia stress. The authors verified 16 differentially expressed miRNAs by qRT-PCR, and the results were consistent with small RNA sequencing (sRNA-seq). The predicted target genes number of differentially expressed miRNAs was 25,146. GO and KEGG functional enrichment analysis showed that these target genes were mainly involved in the adaption of hypoxia stress in silver carp through biological regulation, catalytic activity and apoptosis. This study provides references for further study of interaction between miRNAs and target genes, and the basic data for the response mechanism under hypoxia stress in silver carp.",yes
"Wang, X. H., H. Y. Liu, M. X. Pang, B. D. Fu, X. M. Yu, S. P. He, and J. G. Tong",2019,Construction of a high-density genetic linkage map and mapping of quantitative trait loci for growth-related traits in silver carp (Hypophthalmichthys molitrix),Scientific Reports,9,,,"High-density genetic map and quantitative trait loci (QTL) mapping are powerful tools for identifying genomic regions that may be responsible for such polygenic trait as growth. A high-density genetic linkage map was constructed by sequencing 198 individuals in a F-1 family of silver carp (Hypophthalmichthys molitrix) in this study. This genetic map spans a length of 2,721.07 cM with 3,134 SNPs distributed on 24 linkage groups (LGs). Comparative genomic mapping presented a high level of syntenic relationship between silver carp and zebrafish. We detected one major and nineteen suggestive QTL for 4 growth-related traits (body length, body height, head length and body weight) at 6, 12 and 18 months post hatch (mph), explaining 10.2 similar to 19.5% of phenotypic variation. All six QTL for growth traits of 12 mph generally overlapped with QTL for 6 mph, while the majority of QTL for 18 mph were identified on two additional LGs, which may reveal a different genetic modulation during early and late muscle growth stages. Four potential candidate genes were identified from the QTL regions by homology searching of marker sequences against zebrafish genome. Hepcidin, a potential candidate gene identified from a QTL interval on LG16, was significantly associated with growth traits in the analyses of both phenotype-SNP association and mRNA expression between small-size and large-size groups of silver carp. These results provide a basis for elucidating the genetic mechanisms for growth and body formation in silver carp, a world aquaculture fish.",yes
"Wang, Y. D., J. J. Yao, Y. X. Luo, H. F. Tan, X. Huang, S. Wang, Q. B. Qin, C. Zhang, M. Tao, K. Dabrowski, and S. J. Liu",2021,Two new types of homodiploid fish and polyploid hybrids derived from the distant hybridization of female koi carp and male bighead carp,Marine Biotechnology,23,4,628-640,"Bighead carps (Hypophthalmichthys nobilis) and silver carps (Hypophthalmichthys molitrix) represent an important component of freshwater ichthiofauna in its native range, though they might become mass propagation in other systems (North America) and the reason of concern for fisheries management. Therefore, understanding their reproductive traits and particularly in the context of hybridization with other cyprinids was of value to explain their rapid propagation as well as potential benefits for aquaculture due to their unique diet, behavior, growth potential, and tolerance to deteriorating environmental conditions in freshwater ecosystems. Distant hybridization is an effective tool to create different ploidy offspring with changed phenotypes and genotypes. In this study, we reported distant hybridization of female koi carp (Cyprinus carpio haematopterus, KOC, 2n = 100) x male bighead carp (Hypophthalmichthys nobilis, BIC, 2n = 48) and the spontaneous occurrence of two new crucian"" carp-like homodiploid fish (2nGCC-L; 2nCCC-L; 2n = 100), a new type of triploid hybrid (3nKB, 3n = 124), and a new type of tetraploid hybrid (4nKB, 4n = 148). The body color of 2nGCC-L and 2nCCC-L were gray and multicolor, respectively. Both phenotypes were similar to the crucian carp (Carassius auratus). The difference was that their heads were rounder than those of the crucian carp and they had higher backs. Compared with the KOC with two pairs of barbels and BIC without barbel, 2nGCC-L, 2nCCC-L, and 4nKB had no barbel, but 3nKB had one pair of barbels. Microsatellite patterns and 5S rDNA sequences confirmed that 2nGCC-L, 2nCCC-L, and 3nKB were of hybrid origin. In regard to feeding, KOC was omnivorous and BIC was a typical filter-feeder. However, the 2nGCC-L, 2nCCC-L, and 3nKB were omnivorous. The formation of four kinds of new offspring is a groundbreaking finding in fish genetic breeding and evolutionary biology.""",yes
"Werner, J. P., Q. J. Dean, M. A. Pegg, and M. J. Hamel",2022,Spatial variability of silver carp population demographics in a large tributary river,North American Journal of Fisheries Management,,,,"Silver Carp Hypophthalmichthys molitrix have expanded their range to encompass most of the Mississippi River basin, including much of the Missouri River. However, there is a paucity of information concerning Silver Carp in the Missouri River basin, especially in tributaries. Little is known about how Silver Carp function in these tributaries or how connectivity with a main-stem river can influence population demographics within either system. The Kansas River is a tributary to the Missouri River and has multiple physical anthropogenic barriers creating varying levels of connectivity within the system, as well as with the Missouri River. These varying levels of connectivity, or lack thereof, provide a unique opportunity to examine population demographics in river segments separated by barriers. We collected Silver Carp from upstream and downstream of the first two barriers on the Kansas River in the summers of 2018 and 2019. No Silver Carp were captured upstream of a hydropower dam at river kilometer 84 but were found upstream of a water diversion weir at river kilometer 24. Catch rates of adult Silver Carp were lower in the reach above the weir, but Silver Carp caught in this reach exhibited greater growth rates than Silver Carp captured below the weir. Catch rates of juveniles were also lower in the reach above the weir. Limited connectivity within the Kansas River via the water diversion weir could influence size structure and catch rates of Silver Carp captured above and below the weir. Lack of juveniles above the weir indicates that reproduction may be limited in this reach, and river conditions below the weir may be more suitable for rearing juvenile Silver Carp. This information is important for understanding Silver Carp population demographics across a range of river environments, providing critical information for the development and implementation of broadscale control plans.",yes
"Wilson, J. C., T. M. Detmer, D. White, and D. H. Wahl",2021,Non-native silver carp fail to generalize behavior when exposed to odors from three north American predators,Environmental Biology of Fishes,104,9,1033-1043,"Predator-prey interactions exert significant influence over the survival of juvenile fish cohorts. Therefore, susceptibility of a habitat to invasion is influenced by the capacity of native predators to regulate invasive species through consumption. Closely related predators often share similar characteristics (e.g., odors or body morphometry), and prey species capable of expressing generalized behavioral responses to predators with similar characteristics may increase their chances for survival. Here, we examined how naive juvenile silver carp (Hypophthalmichthys molitrix), an invasive Asian carp, respond to three predator odors from predators commonly found in Midwestern lakes and rivers of the USA. We tested two congeneric species of bass (largemouth Micropterus salmoides and smallmouth M. dolomieu bass) and one outgroup, longnose gar (Lepisosteus osseus). Additionally, we tested how silver carp conditioned to recognize the odor of one group, largemouth bass, responded to the predator odors of the congeneric species and the outgroup. We found that juvenile silver carp showed no innate response to any of the three predator odors. Additionally, although they could be conditioned to recognize predator odors from largemouth bass, they were unable to generalize predator odors to smallmouth bass or longnose gar odor. These results suggest that invasive species could be less likely to persist in environments with diverse predator communities than environments of equal densities with uniform predator communities and that future studies should continue to explore this area as well as focus on understanding dynamics in predator-prey interactions of invasive species.",yes
"Wolf, M. C., and Q. E. Phelps",2017,Prey selectivity of common predators on silver carp (Hypophthalmichthys molitrix): Controlled laboratory experiments support field observations,Environmental Biology of Fishes,100,9,1139-1143,"Silver Carp Hypophthalmicthys molitrix (Valenciennes, 1844) are an invasive species in the Mississippi River Basin and their current role in this novel ecosystem is not fully understood. Juvenile Silver Carp can and do occur in great numbers after a successful spawn. These massive schools of small Silver Carp seem to be an obvious prey source for the common predators of the Mississippi River system. The level to which native piscivores are consuming this novel prey item is unclear. Therefore, the goal of this research was to assess the diets of native piscivores collected in Pool 26 and the Open River reach of the Mississippi River. Using diet contents and catch rates of small fishes, selection or avoidance could be determined for predator prey interactions. Then a controlled laboratory experiment was conducted to determine if common predators [White Bass Morone chrysops and Largemouth Bass Micropterus salmoides (Lacepede, 1802)] would select for or against this novel prey in the presence of two native prey fish [Gizzard Shad Dorosoma cepedianum (Lesueur, 1818) and Emerald Shiner Notropis atherinoides]. Understanding how predator-prey interactions occur in a controlled laboratory experiment may provide insight to trends observed in the field. The majority of native piscivores appeared to be avoiding Silver Carp in both reaches and selecting native prey fishes. The order in which prey fish were consumed by both predators showed significant avoidance of Silver Carp. It appears that the trends observed in the field were supported by our controlled laboratory experiment. The effectiveness of different native piscivores to consume Silver Carp may have impacts on future management decisions.",yes
"Xia, W. L., L. Chen, X. W. Deng, G. D. Liang, J. P. Giesy, Q. Y. Rao, Z. H. Wen, Y. Wu, J. Chen, and P. Xie",2019,Spatial and interspecies differences in concentrations of eight trace elements in wild freshwater fishes at different trophic levels from middle and eastern China,Science of the Total Environment,672,,883-892,"There have been numerous studies on concentrations of trace elements in aquatic ecosystems, but few have been conducted at a large spatial scale. This study collected 410 samples of five wild freshwater fishes at different trophic levels from middle and eastern China. Concentrations of eight trace elements, chromium (Cr), iron (Fe), nickel (Ni), copper (Cu), zinc (Zn), arsenic (As), lead (Pb) and cadmium (Cd) and stable isotope ratios (delta C-13 and delta N-15) were determined in dorsal muscle of fishes. Spatially, concentrations of trace elements were least in fishes from the Hai River Basin, while those in fishes from the Taihu Lake Basin were greatest The carnivorous topmouth culter and omnivorous common carp and crucian carp accumulated greater amounts of trace elements than did the planktivorous silver carp and bighead carp. Trophic biomagnification was for Cu, Fe and Zn, but not for Cr, Ni, As, Pb and Cd. Concentrations of As in 15 muscle samples (3.7%) from Taihu Lake Basin exceeded the guidelines (1.0 mg/kg, wet mass) provided by FAO/WHO (2014), while the total target hazard quotient (TTHQ) values were <1.0, indicating no obvious non-carcinogenic risks to humans that consume those fishes. However, people who consume larger amounts of fish products, or people who are vulnerable, such as pregnant women, children and people with poor health, might be at greater risk. Also, exposure to trace metals through other routes cannot be ignored. Accumulations of trace elements in Chinese freshwater fishes were affected by both geographical conditions and human activities. (C) 2019 Published by Elsevier B.V.",yes
